ward_num,shapeName,mean_HII,ndvi_green_fraction,ghsl_informal,population,hii_norm,informal_norm,green_deficit_norm,pop_norm,hii_rank,informal_rank,green_deficit_rank,Score_A,Score_B,Score_C,rank_A,rank_B,rank_C,cooling_score,Cooling_Priority_Tier,healthcare_dist_km,urgent_flag
74,Ward No-74,3.0679119771213497,0.013056173737599,144802.22200371145,61399.45505981445,0.4806149244074305,0.6441716376872504,0.9879012027731148,0.1554944404933746,0.7065217391304348,0.9456521739130436,0.9891304347826086,0.8716304347826087,0.8369565217391304,0.8967391304347825,1,2,1,0.7391304347826088,Very High,1.1954135369813963,False
60,Ward No-60,3.740375000563061,0.02961978646085,87265.52524502896,37786.29357072419,0.6724666033082948,0.3677102976103541,0.9591313992365272,0.0782572281365133,0.8913043478260869,0.75,0.9456521739130436,0.853695652173913,0.8695652173913043,0.8342391304347826,2,1,3,0.7101449275362319,Very High,1.086604589964558,False
70,Ward No-70,2.556861930825937,0.0096944969690816,218856.65787829983,74138.04114535463,0.3348138826158174,1.0,0.9937401934449982,0.1971615793502195,0.4347826086956521,1.0108695652173914,1.0,0.8070652173913044,0.720108695652174,0.8641304347826088,3,12,2,0.6920289855072465,Very High,1.3300410963971268,False
65,Ward No-65,3.65735040509905,0.0513275139439768,84561.88881135569,46062.646426242005,0.6487799358268429,0.3547194414499987,0.921426638484746,0.1053286740052627,0.8586956521739131,0.7282608695652174,0.8369565217391305,0.7998913043478262,0.8206521739130435,0.7880434782608695,4,3,6,0.6956521739130435,Very High,1.3553797669833016,False
71,Ward No-71 (Part),2.474979490214495,0.0060905442563821,157971.86130721078,43180.08345157398,0.311453068480039,0.7074511850941037,1.0,0.0958999861648257,0.3804347826086957,0.967391304347826,1.0108695652173914,0.7783695652173914,0.6847826086956521,0.8315217391304348,5,14,4,0.5833333333333334,High,0.7726955124068835,False
14,Ward No-14 (part),2.962857448578206,0.0870607993663848,103750.15000294666,194635.19832105443,0.4506431832491036,0.4469182067879171,0.8593604927412885,0.5913004379472597,0.6630434782608695,0.8586956521739131,0.7282608695652174,0.7424999999999999,0.7282608695652174,0.7771739130434783,6,9,7,0.7789855072463768,Very High,0.4500657519603634,False
87,Ward No-87,4.567099257007175,0.0301921077976372,48428.760604091,31818.805767223887,0.9083285482150992,0.1811013227865692,0.9581373182534546,0.0587379391616387,0.967391304347826,0.3478260869565217,0.9239130434782608,0.7389130434782609,0.8016304347826086,0.6467391304347826,7,4,24,0.6920289855072465,Very High,2.303639735550047,True
84,Ward No-84,4.5093689629849845,0.0240393264757807,46196.17955705405,33486.46697390688,0.8918582688904281,0.1703738673908791,0.9688242567125332,0.0641927573493424,0.9565217391304348,0.3043478260869565,0.967391304347826,0.7353260869565218,0.7961956521739131,0.6331521739130435,8,5,26,0.7101449275362318,Very High,2.4985795501914825,True
64,Ward No-64,2.2730256077577526,0.0383621127277555,180958.80241611853,41508.67984116498,0.2538362329675474,0.8179024431823313,0.9439466075274964,0.0904329268025786,0.2934782608695652,1.0,0.8586956521739131,0.7102173913043479,0.6114130434782609,0.7880434782608696,9,28,5,0.4927536231884057,Moderate,0.8735591191371125,False
66,Ward No-66 (Part),3.1737773899413577,0.0381450163963262,63430.53326132139,21705.04593499876,0.5108180084121112,0.2531841917378702,0.9443236882349538,0.0256564470349374,0.7391304347826086,0.5434782608695652,0.8695652173913043,0.7102173913043478,0.7228260869565216,0.6739130434782609,10,11,19,0.5615942028985508,High,1.2790564052763291,False
89,Ward No-89,4.1815284502109735,0.0228533104093868,38892.78061150261,25518.467861040903,0.7983263562129036,0.1352813512516266,0.9708842812851612,0.038129917783194,0.9456521739130436,0.2065217391304347,0.9782608695652174,0.7030434782608697,0.7690217391304347,0.5842391304347826,11,7,36,0.6884057971014492,Very High,3.672918217698555,True
25,Ward No-25,2.713857024216811,0.0760383225626474,115800.794098535,110317.1296927658,0.379604110771534,0.5048210306053681,0.8785057418743457,0.3155011734069128,0.4673913043478261,0.9130434782608696,0.7391304347826086,0.6994565217391304,0.6467391304347826,0.7581521739130435,12,26,8,0.6666666666666666,Very High,0.8974823983666482,False
43,Ward No-43,2.8645471823234017,0.057990203114449,82946.93097163095,151275.18804566626,0.4225955598457476,0.3469596388598263,0.9098540267808536,0.4494724864896309,0.6086956521739131,0.7065217391304348,0.7934782608695652,0.6958695652173914,0.6793478260869565,0.7038043478260869,13,16,13,0.75,Very High,0.647829386756732,False
88,Ward No-88,4.653470413033593,0.036539485706189,39415.30915733245,17342.018748085175,0.9329699793639348,0.1377920783205515,0.9471123795246488,0.0113852509687054,1.0,0.217391304347826,0.8913043478260869,0.6958695652173913,0.7771739130434783,0.5815217391304348,14,6,38,0.644927536231884,Very High,3.335655241863137,True
35,Ward No-35,2.924853035578572,0.0577978607837085,72034.65242582951,37954.0684366862,0.4398006384764486,0.2945266122869308,0.9101881115701824,0.0788060094996712,0.6521739130434783,0.6086956521739131,0.8043478260869565,0.6815217391304349,0.6793478260869565,0.6684782608695652,15,16,21,0.5869565217391305,High,1.0709024214618126,False
24,Ward No-24,2.9084492054959488,0.1419558310917709,101181.93552823164,93891.66240090762,0.4351206750702101,0.4345780472848005,0.7640117723708139,0.2617744707852383,0.6304347826086957,0.8478260869565217,0.5543478260869565,0.6707608695652174,0.6657608695652174,0.720108695652174,16,23,10,0.6340579710144928,High,0.2212608560441608,False
69,Ward No-69,1.6496541368924331,0.0301456393491287,169528.57387675424,63012.79235169654,0.0759902264283058,0.7629806892861801,0.9582180306050758,0.160771568466006,0.0978260869565217,0.9891304347826086,0.9347826086956522,0.6671739130434784,0.529891304347826,0.7527173913043479,17,45,9,0.5217391304347827,Moderate,1.337407785233471,False
42,Ward No-42,2.5011721472582646,0.094573807694685,103871.31675787024,63188.63963240081,0.3189257547892474,0.4475004078061549,0.8463109378413162,0.1613467542058912,0.4021739130434782,0.8695652173913043,0.717391304347826,0.6564130434782609,0.5978260869565217,0.7146739130434783,18,32,11,0.5579710144927535,Moderate,0.5018008983233777,False
50,Ward No-50,2.161054915550128,0.0325323170553,98984.03143822012,70158.7439886355,0.2218913311084392,0.424017213168209,0.9540725431526124,0.1841455408300674,0.25,0.8260869565217391,0.9021739130434784,0.6528260869565218,0.5570652173913044,0.7010869565217391,19,39,14,0.5869565217391305,High,0.4692243466210216,False
90,Ward No-90,4.888418632389966,0.1052295357819693,42153.79068464796,40383.39553378237,1.0,0.1509503636491792,0.8278027048409075,0.0867521904026132,1.0108695652173914,0.2608695652173913,0.6956521739130435,0.6492391304347827,0.7445652173913043,0.5570652173913043,20,8,42,0.6739130434782609,Very High,2.827327209681161,True
30,Ward No-30,3.291287243394838,0.0626410708905437,54939.55586248596,22861.61496698717,0.5443432163217754,0.2123854124806921,0.9017758040870169,0.0294395138627457,0.782608695652174,0.4021739130434782,0.7717391304347826,0.6456521739130435,0.6847826086956522,0.5896739130434783,21,13,35,0.5507246376811594,Moderate,2.8202256721100336,True
75,Ward No-75,3.284824552320995,0.1035813231406214,60084.103693568286,31597.971250287224,0.5424994299877869,0.2371047423622096,0.8306655316088585,0.0580156029133459,0.7717391304347826,0.4782608695652174,0.7065217391304348,0.6456521739130434,0.6820652173913044,0.6086956521739131,22,15,32,0.5507246376811593,Moderate,1.860603228349672,True
39,Ward No-39,3.1111262324431297,0.2079568876286793,94810.46703446691,109012.81865401924,0.4929438215317684,0.4039634166703291,0.6493726859890981,0.3112348514776951,0.7282608695652174,0.8152173913043478,0.4130434782608695,0.6456521739130434,0.6711956521739131,0.6929347826086957,22,20,16,0.6413043478260869,High,0.8145221405743366,False
13,Ward No-13,2.4818876839002,0.1139996937955009,110561.64169801932,229855.8513112984,0.3134239553698364,0.4796471298583621,0.8125695713905009,0.7065050476989717,0.391304347826087,0.9021739130434784,0.6413043478260869,0.6384782608695653,0.5815217391304348,0.7092391304347826,24,35,12,0.6739130434782608,Very High,0.6106438157431023,False
58,Ward No-58,4.590173552012109,0.15097453843803,55032.30267471165,82244.99417859246,0.9149115752096446,0.2128310569031259,0.7483469266127608,0.2236789287227119,0.9782608695652174,0.4130434782608695,0.532608695652174,0.6348913043478261,0.7255434782608695,0.5842391304347826,25,10,36,0.7246376811594203,Very High,0.8534427951858042,False
